cohort	ic	genes	cytoband	in_selected_genes_list2
METABRIC	NA	THRA	17q21.1b-q21.1c	TRUE
METABRIC	NA	CASC3	17q21.1d	TRUE
METABRIC	NA	CDC6	17q21.2a	TRUE
METABRIC	NA	CA306680	17q21.2a	TRUE
METABRIC	NA	RARA	17q21.2a	TRUE
METABRIC	NA	SMARCE1	17q21.2a	TRUE
METABRIC	NA	EIF1	17q21.2b	TRUE
METABRIC	NA	DQ895110	17q21.31a	TRUE
METABRIC	NA	AARSD1	17q21.31a	TRUE
METABRIC	NA	SNX11	17q21.32b	TRUE
METABRIC	NA	CALCOCO2	17q21.32c	TRUE
METABRIC	NA	UBE2Z	17q21.32c	TRUE
METABRIC	NA	SNF8	17q21.32c	TRUE
METABRIC	NA	PHB	17q21.33a	TRUE
METABRIC	NA	SPOP	17q21.33a	TRUE
METABRIC	NA	SLC35B1	17q21.33a	TRUE
METABRIC	NA	XYLT2	17q21.33b	TRUE
METABRIC	NA	MRPL27	17q21.33b	TRUE
METABRIC	NA	RSAD1	17q21.33b	TRUE
METABRIC	NA	EPN3	17q21.33b	TRUE
METABRIC	NA	CROP	17q21.33b	TRUE
METABRIC	NA	TOB1	17q21.33b	TRUE
METABRIC	NA	SPAG9	17q21.33b	TRUE
METABRIC	NA	NME1	17q21.33b	TRUE
METABRIC	ic1	TOM1L1	17q22b	TRUE
METABRIC	ic1	MRPS23	17q22d	TRUE
METABRIC	ic1	DYNLL2	17q22d	TRUE
METABRIC	ic1	SUPT4H1	17q22d	TRUE
METABRIC	ic1	RNF43	17q22d	TRUE
METABRIC	ic1	MTMR4	17q22d	TRUE
METABRIC	ic1	RAD51C	17q22d	TRUE
METABRIC	ic1	TRIM37	17q22d	TRUE
METABRIC	ic1	C17orf71	17q22d	TRUE
METABRIC	ic1	DHX40	17q23.1a	TRUE
METABRIC	ic1	CLTC	17q23.1a	TRUE
METABRIC	ic1	PTRH2	17q23.1a	TRUE
METABRIC	ic1	TMEM49	17q23.1a	TRUE
METABRIC	ic1	TUBD1	17q23.1a	TRUE
METABRIC	ic1	RPS6KB1	17q23.1a	TRUE
METABRIC	ic1	RNFT1	17q23.1a	TRUE
METABRIC	ic1	HEATR6	17q23.1a	TRUE
METABRIC	ic1	USP32	17q23.2a	TRUE
METABRIC	ic1	APPBP2	17q23.2a	TRUE
METABRIC	ic1	PPM1D	17q23.2a	TRUE
METABRIC	ic1	INTS2	17q23.2c	TRUE
METABRIC	ic1	MED13	17q23.2c	TRUE
METABRIC	ic1	TLK2	17q23.2d	TRUE
METABRIC	ic1	CYB561	17q23.3a	TRUE
METABRIC	ic1	DQ894417	17q23.3a	TRUE
METABRIC	ic1	WDR68	17q23.3a	TRUE
METABRIC	ic1	CCDC44	17q23.3a	TRUE
METABRIC	ic1	STRADA	17q23.3a-q23.3b	TRUE
METABRIC	ic1	CCDC47	17q23.3b	TRUE
METABRIC	ic1	DDX42	17q23.3b	TRUE
METABRIC	ic1	FTSJ3	17q23.3b	TRUE
METABRIC	ic1	SMARCD2	17q23.3b	TRUE
METABRIC	ic1	POLG2	17q24.1a	TRUE
METABRIC	ic1	DQ893774	17q24.1a	TRUE
METABRIC	ic1	CCDC45	17q24.1a	TRUE
METABRIC	ic1	GNA13	17q24.1a	TRUE
METABRIC	ic1	HELZ	17q24.2a-q24.2b	TRUE
METABRIC	ic1	NOL11	17q24.2b	TRUE
METABRIC	ic1	AMZ2	17q24.2c	TRUE
METABRIC	ic1	COG1	17q25.1a	TRUE
METABRIC	ic1	ICT1	17q25.1c	FALSE
METABRIC	ic1	ATP5H	17q25.1c	FALSE
METABRIC	ic1	NUP85	17q25.1c	TRUE
METABRIC	ic1	GGA3	17q25.1c	TRUE
METABRIC	ic1	MRPS7	17q25.1c	TRUE
METABRIC	ic1	KIAA0195	17q25.1c	TRUE
METABRIC	ic1	TSEN54	17q25.1c	TRUE
METABRIC	ic1	LLGL2	17q25.1c	TRUE
METABRIC	ic1	SAP30BP	17q25.1c	TRUE
METABRIC	ic1	GALK1	17q25.1d	TRUE
METABRIC	ic1	WBP2	17q25.1d	TRUE
METABRIC	ic1	KIAA1863	17q25.1d	TRUE
METABRIC	ic1	SRP68	17q25.1d	TRUE
METABRIC	ic1	EXOC7	17q25.1d	TRUE
METABRIC	ic1	PRPSAP1	17q25.1d	TRUE
METABRIC	ic1	UBE2O	17q25.1d	TRUE
METABRIC	ic1	JMJD6	17q25.2a	TRUE
METABRIC	ic1	C17orf95	17q25.2a	TRUE
METABRIC	ic1	Sep-09	17q25.2b-q25.3a	TRUE
METABRIC	ic1	PGS1	17q25.3b	TRUE
